id;Ro;Rn;matches;wins;draws;losses
FLA;1669;1583;76;49;15;12
ATH;1517;1471;76;34;19;23
GRE;1489;1405;76;37;20;19
FOR;1374;1391;38;15;8;15
SAN;1360;1361;76;35;19;22
PAL;1294;1331;76;44;22;10
SAO;1313;1329;76;33;27;16
FLU;1275;1317;76;24;19;33
SPO;1259;1310;38;11;9;18
GOI;1200;1275;38;15;7;16
INT;1210;1257;76;35;21;20
VAS;1271;1245;76;22;26;28
ATL;1288;1227;76;30;17;29
AME;1247;1190;38;10;10;18
VIT;1195;1189;38;9;10;19
CHA;1172;1186;76;18;22;36
BAH;1197;1170;76;24;25;27
COR;1222;1165;76;25;25;26
PAR;1110;1135;38;4;11;23
CEA;1136;1134;76;20;23;33
BOT;1121;1109;76;26;16;34
CRU;1103;1066;76;21;26;29
AVA;952;996;38;3;11;24
CSA;1020;995;38;8;8;22
