id;Ro;Rn;matches;wins;draws;losses
PAL;1668;1672;38;23;11;4
ATH;1456;1526;38;16;9;13
FLA;1604;1523;38;21;9;8
GRE;1398;1418;38;18;12;8
ATL;1354;1405;38;17;8;13
BOT;1460;1395;38;13;12;13
INT;1400;1366;38;19;12;7
CEA;1381;1361;38;10;14;14
VAS;1334;1341;38;10;13;15
CRU;1339;1334;38;14;11;13
CHA;1277;1321;38;11;11;16
SPO;1259;1310;38;11;9;18
SAN;1368;1303;38;13;11;14
BAH;1304;1295;38;12;12;14
SAO;1338;1279;38;16;15;7
FLU;1196;1239;38;12;9;17
COR;1255;1224;38;11;11;16
AME;1247;1190;38;10;10;18
VIT;1195;1189;38;9;10;19
PAR;1110;1135;38;4;11;23
